"zip_id","week","exp_bin","meantemp","resp_count"
8,1,0,16.9335713571429,0
8,2,0,19.5721428714286,0
8,3,0,21.1635717142857,0
8,4,0,22.0042852142857,0
8,5,0,25.485,0
8,6,0,21.7307142857143,0
8,7,0,22.1114283571429,0
8,8,0,25.2878571428571,0
8,9,0,23.2392855,0
8,10,0,20.7992856428571,0
8,11,0,25.1957142857143,0
8,12,0,24.3035710714286,0
8,13,0,26.7507140714286,0
8,14,0,26.3242856428571,0
8,15,0,22.8807146428571,0
8,16,0,18.7957143428571,0
8,17,0,19.3035714857143,0
8,18,0,21.1885713571429,0
8,19,0,17.15714295,0
8,20,0,16.5942855357143,0
8,21,0,18.3835716357143,0
8,22,0,17.3735713214286,1
103,1,0,23.0621428571429,0
103,2,0,26.7507145,1
103,3,0,27.3528571428571,2
103,4,0,25.7357143571429,4
103,5,0,28.6792855714286,1
103,6,0,27.482857,1
103,7,0,26.5928575,1
103,8,0,28.9964285714286,3
103,9,0,29.7978572857143,3
103,10,0,25.9157142142857,1
103,11,0,26.1778571428571,0
103,12,0,27.5221431428571,1
103,13,0,30.5864287142857,2
103,14,0,28.3042860714286,0
103,15,0,24.8178569285714,2
103,16,0,20.4978570714286,3
103,17,0,19.8692858571429,3
103,18,0,18.6350001714286,5
103,19,0,16.7907143928571,0
103,20,0,16.5014283714286,2
103,21,0,17.6264286214286,2
103,22,0,17.7957141642857,1
141,1,0,20.64571435,0
141,2,0,25.8535712142857,0
141,3,0,25.955,0
141,4,0,24.425,0
141,5,0,28.6335708571429,0
141,6,0,27.7228570714286,0
141,7,0,25.8821427857143,0
141,8,0,28.2128571428571,0
141,9,0,29.0464287142857,0
141,10,0,24.9185712142857,0
141,11,0,26.0414287142857,0
141,12,0,26.9885717857143,0
141,13,0,29.0249999285714,0
141,14,0,27.2007143571429,0
141,15,0,23.8814285714286,0
141,16,0,18.5914283928571,0
141,17,0,18.89357125,0
141,18,0,17.6835711428571,0
141,19,0,16.3914283285714,0
141,20,0,14.7764287785714,0
141,21,0,18.7900000571429,0
141,22,0,17.1200002142857,0
150,1,0,12.9871428857143,1
150,2,0,14.9707144285714,3
150,3,0,13.7614284071429,3
150,4,0,14.06214295,0
150,5,0,14.7921427714286,0
150,6,0,15.4657142857143,3
150,7,0,16.3971430714286,1
150,8,0,16.0385712857143,0
150,9,0,14.7200001428571,3
150,10,0,14.8607142785714,2
150,11,0,15.1364287357143,2
150,12,0,16.5514285,0
150,13,0,18.8085715714286,1
150,14,0,18.042857,2
150,15,0,16.6099999285714,2
150,16,0,15.2621426785714,1
150,17,0,17.1600000857143,5
150,18,0,14.4099999714286,2
150,19,0,14.3457141785714,1
150,20,0,14.3842855214286,1
150,21,0,16.5285714214286,6
150,22,0,13.4407142071429,0
151,1,0,13.5857140571429,0
151,2,0,17.1542858642857,0
151,3,0,15.8849998357143,0
151,4,0,14.8949999857143,0
151,5,0,16.9964282714286,1
151,6,0,16.7600000142857,0
151,7,0,17.0378571428571,1
